ID_Venta,Producto,Categoría,Precio,Cantidad,Fecha,Ciudad,Método_Pago
249,Televisor,Electrónica,300000,5,2025-06-19,Santiago,Transferencia
250,Escritorio,Hogar,70000,5,2025-03-03,Santiago,Tarjeta
251,Polera,Ropa,12000,5,2024-10-09,,Efectivo
252,Escritorio,Hogar,70000,2,2025-07-06,Antofagasta,Efectivo
253,Polera,Ropa,12000,1,2025-07-08,La Serena,Efectivo
254,Zapatos,Ropa,35000,3,2025-07-02,Concepción,Transferencia
255,Celular,Electrónica,250000,2,2024-11-26,Concepción,Efectivo
256,Polera,Ropa,12000,3,2024-11-15,,Efectivo
257,Licuadora,Hogar,45000,1,2024-11-15,La Serena,Tarjeta
258,Camisa,Ropa,18000,3,2025-08-26,Concepción,Tarjeta
259,Zapatos,Ropa,35000,5,2025-08-15,Santiago,Transferencia
260,Licuadora,Hogar,45000,4,2025-07-30,La Serena,Tarjeta
261,Silla Gamer,Hogar,120000,5,2024-11-14,Concepción,Transferencia
262,Polera,Ropa,12000,4,2025-04-10,Santiago,Tarjeta
263,Escritorio,Hogar,70000,5,2025-04-10,Valparaíso,Efectivo
264,Polera,Ropa,12000,4,2025-05-05,Santiago,Tarjeta
265,Televisor,Electrónica,300000,2,2024-11-29,,Tarjeta
266,Escritorio,Hogar,70000,5,2025-01-20,Santiago,Transferencia
267,Zapatos,Ropa,35000,1,2024-12-07,Valparaíso,Tarjeta
268,Polera,Ropa,12000,1,2025-02-10,,Tarjeta
269,Polera,Ropa,12000,3,2025-03-13,Antofagasta,Transferencia
270,Escritorio,Hogar,70000,4,2025-01-18,La Serena,Efectivo
271,Silla Gamer,Hogar,120000,4,2025-02-21,Antofagasta,Tarjeta
272,Zapatos,Ropa,35000,2,2025-08-22,Antofagasta,Transferencia
273,Cargador,Electrónica,8000,1,2024-11-30,Concepción,Efectivo
274,Camisa,Ropa,18000,5,2025-04-21,Concepción,Tarjeta
275,Escritorio,Hogar,70000,3,2025-01-07,Antofagasta,Transferencia
276,Polera,Ropa,12000,2,2025-02-13,La Serena,Transferencia
277,Polera,Ropa,12000,3,2025-05-28,Concepción,Transferencia
278,Licuadora,Hogar,45000,4,2024-12-23,La Serena,Efectivo
279,Silla Gamer,Hogar,120000,2,2024-09-26,Antofagasta,Efectivo
280,Silla Gamer,Hogar,120000,4,2025-01-27,Santiago,Efectivo
281,Polera,Ropa,12000,4,2024-10-02,La Serena,Transferencia
282,Cargador,Electrónica,8000,4,2025-03-03,Santiago,Tarjeta
283,Licuadora,Hogar,45000,5,2024-11-29,Concepción,Tarjeta
284,Polera,Ropa,12000,1,2024-12-23,Antofagasta,Efectivo
285,Auriculares,Electrónica,15000,2,2024-12-11,La Serena,Transferencia
286,Cargador,Electrónica,8000,1,2025-09-04,La Serena,Efectivo
287,Camisa,Ropa,18000,5,2025-07-31,,Efectivo
288,Celular,Electrónica,250000,3,2025-08-17,,Transferencia
289,Zapatos,Ropa,35000,3,2025-08-20,,Transferencia
290,Polera,Ropa,12000,5,2024-09-26,Santiago,Transferencia
291,Celular,Electrónica,250000,2,2024-11-06,,Transferencia
292,Escritorio,Hogar,70000,2,2024-09-26,,Tarjeta
293,Zapatos,Ropa,35000,1,2024-09-27,,Transferencia
294,Celular,Electrónica,250000,4,2025-07-06,Valparaíso,Transferencia
295,Escritorio,Hogar,70000,1,2025-04-23,Santiago,Efectivo
296,Auriculares,Electrónica,15000,3,2025-08-08,Concepción,Efectivo
297,Zapatos,Ropa,35000,2,2025-03-22,Valparaíso,Transferencia
298,Zapatos,Ropa,35000,5,2024-10-20,,Tarjeta
299,Cargador,Electrónica,8000,2,2025-03-26,Santiago,Transferencia
300,Zapatos,Ropa,35000,5,2025-04-24,,Tarjeta
301,Polera,Ropa,12000,5,2025-04-25,Valparaíso,Tarjeta
302,Polera,Ropa,12000,3,2025-02-13,La Serena,Efectivo
303,Auriculares,Electrónica,15000,4,2025-04-14,Concepción,Transferencia
304,Licuadora,Hogar,45000,2,2025-08-11,Santiago,Efectivo
305,Camisa,Ropa,18000,5,2024-10-10,Concepción,Transferencia
306,Zapatos,Ropa,35000,3,2025-04-11,La Serena,Efectivo
307,Silla Gamer,Hogar,120000,4,2025-06-17,La Serena,Tarjeta
308,Silla Gamer,Hogar,120000,4,2025-04-04,Antofagasta,Efectivo
309,Televisor,Electrónica,300000,3,2025-07-18,,Efectivo
310,Auriculares,Electrónica,15000,4,2025-05-21,Concepción,Tarjeta
311,Televisor,Electrónica,300000,1,2025-07-30,Antofagasta,Transferencia
312,Polera,Ropa,12000,3,2025-02-15,Valparaíso,Transferencia
313,Camisa,Ropa,18000,2,2024-10-11,,Tarjeta
314,Televisor,Electrónica,300000,3,2025-05-31,,Transferencia
315,Cargador,Electrónica,8000,1,2025-07-12,,Transferencia
316,Auriculares,Electrónica,15000,3,2025-03-11,La Serena,Tarjeta
317,Televisor,Electrónica,300000,3,2024-12-05,,Tarjeta
318,Celular,Electrónica,250000,3,2024-12-01,Concepción,Transferencia
319,Zapatos,Ropa,35000,2,2024-11-05,Valparaíso,Tarjeta
320,Licuadora,Hogar,45000,3,2024-11-18,Antofagasta,Transferencia
321,Escritorio,Hogar,70000,2,2024-12-29,Concepción,Efectivo
322,Escritorio,Hogar,70000,3,2025-08-10,Santiago,Efectivo
323,Celular,Electrónica,250000,2,2024-11-21,Valparaíso,Transferencia
324,Zapatos,Ropa,35000,5,2025-05-07,Concepción,Tarjeta
325,Zapatos,Ropa,35000,1,2024-10-27,Concepción,Transferencia
326,Celular,Electrónica,250000,4,2025-08-30,Concepción,Transferencia
327,Escritorio,Hogar,70000,5,2025-06-04,La Serena,Transferencia
328,Camisa,Ropa,18000,1,2024-09-29,,Tarjeta
329,Polera,Ropa,12000,1,2025-01-21,Antofagasta,Transferencia
330,Camisa,Ropa,18000,5,2024-11-15,Valparaíso,Transferencia
331,Celular,Electrónica,250000,4,2025-06-17,,Efectivo
332,Zapatos,Ropa,35000,1,2024-12-06,Valparaíso,Tarjeta
333,Auriculares,Electrónica,15000,3,2025-07-04,La Serena,Tarjeta
334,Celular,Electrónica,250000,2,2025-05-16,Antofagasta,Tarjeta
335,Zapatos,Ropa,35000,4,2025-01-20,Concepción,Transferencia
336,Licuadora,Hogar,45000,4,2024-12-09,Antofagasta,Transferencia
337,Cargador,Electrónica,8000,4,2025-06-25,,Tarjeta
338,Polera,Ropa,12000,5,2024-11-13,La Serena,Efectivo
339,Auriculares,Electrónica,15000,3,2025-07-11,Valparaíso,Efectivo
340,Polera,Ropa,12000,2,2025-05-27,Concepción,Tarjeta
341,Camisa,Ropa,18000,5,2025-05-16,,Efectivo
342,Auriculares,Electrónica,15000,4,2024-10-10,Concepción,Tarjeta
343,Celular,Electrónica,250000,4,2024-10-21,Santiago,Transferencia
344,Silla Gamer,Hogar,120000,5,2025-08-21,Santiago,Tarjeta
345,Camisa,Ropa,18000,2,2024-11-08,Valparaíso,Transferencia
346,Silla Gamer,Hogar,120000,1,2025-06-14,Antofagasta,Tarjeta
347,Televisor,Electrónica,300000,2,2025-05-27,Valparaíso,Efectivo
348,Cargador,Electrónica,8000,5,2025-06-17,Santiago,Efectivo
349,Cargador,Electrónica,8000,2,2025-06-08,Antofagasta,Efectivo
350,Cargador,Electrónica,8000,1,2025-02-08,,Tarjeta
351,Cargador,Electrónica,8000,1,2025-03-11,Concepción,Tarjeta
352,Televisor,Electrónica,300000,3,2024-11-06,Santiago,Tarjeta
353,Escritorio,Hogar,70000,1,2024-11-04,Valparaíso,Transferencia
354,Zapatos,Ropa,35000,5,2025-07-01,Santiago,Transferencia
355,Celular,Electrónica,250000,4,2025-08-27,La Serena,Efectivo
356,Licuadora,Hogar,45000,5,2025-08-22,Santiago,Efectivo
357,Licuadora,Hogar,45000,2,2025-07-15,Antofagasta,Tarjeta
358,Licuadora,Hogar,45000,3,2024-09-12,La Serena,Transferencia
359,Auriculares,Electrónica,15000,1,2024-11-26,La Serena,Efectivo
360,Zapatos,Ropa,35000,1,2024-10-24,La Serena,Transferencia
361,Polera,Ropa,12000,1,2024-09-26,Santiago,Efectivo
362,Televisor,Electrónica,300000,2,2025-07-22,Santiago,Tarjeta
363,Escritorio,Hogar,70000,5,2025-06-20,,Transferencia
364,Licuadora,Hogar,45000,3,2025-05-28,La Serena,Transferencia
365,Licuadora,Hogar,45000,3,2025-07-06,La Serena,Transferencia
366,Televisor,Electrónica,300000,4,2025-05-03,Santiago,Transferencia
367,Celular,Electrónica,250000,5,2025-08-16,,Tarjeta
368,Zapatos,Ropa,35000,4,2024-09-20,Valparaíso,Efectivo
369,Camisa,Ropa,18000,4,2024-10-02,La Serena,Efectivo
370,Celular,Electrónica,250000,3,2025-03-25,La Serena,Efectivo
371,Escritorio,Hogar,70000,3,2025-05-10,Valparaíso,Transferencia
372,Polera,Ropa,12000,1,2025-07-11,Santiago,Tarjeta
373,Celular,Electrónica,250000,4,2024-12-09,Santiago,Transferencia
374,Camisa,Ropa,18000,2,2025-06-05,Antofagasta,Tarjeta
375,Televisor,Electrónica,300000,5,2025-05-07,Antofagasta,Efectivo
376,Celular,Electrónica,250000,4,2025-04-06,Concepción,Transferencia
377,Zapatos,Ropa,35000,1,2024-10-26,Concepción,Transferencia
378,Escritorio,Hogar,70000,3,2025-08-04,Santiago,Transferencia
379,Licuadora,Hogar,45000,2,2025-08-07,Valparaíso,Transferencia
380,Polera,Ropa,12000,2,2024-09-19,Santiago,Efectivo
381,Licuadora,Hogar,45000,3,2025-04-30,Santiago,Efectivo
382,Televisor,Electrónica,300000,2,2025-07-09,La Serena,Transferencia
383,Televisor,Electrónica,300000,5,2025-02-03,,Transferencia
384,Licuadora,Hogar,45000,1,2025-05-20,Antofagasta,Transferencia
385,Escritorio,Hogar,70000,1,2025-04-19,Valparaíso,Efectivo
386,Escritorio,Hogar,70000,3,2025-09-03,Concepción,Tarjeta
387,Cargador,Electrónica,8000,2,2025-02-21,Antofagasta,Transferencia
388,Zapatos,Ropa,35000,1,2024-12-06,Valparaíso,Transferencia
389,Auriculares,Electrónica,15000,1,2025-06-20,,Transferencia
390,Silla Gamer,Hogar,120000,4,2025-01-13,La Serena,Efectivo
391,Camisa,Ropa,18000,2,2025-04-17,Concepción,Efectivo
392,Camisa,Ropa,18000,5,2025-06-05,Antofagasta,Tarjeta
393,Auriculares,Electrónica,15000,2,2024-12-16,Valparaíso,Transferencia
394,Auriculares,Electrónica,15000,1,2025-01-28,Concepción,Efectivo
395,Zapatos,Ropa,35000,4,2025-06-01,Antofagasta,Efectivo
396,Zapatos,Ropa,35000,3,2025-08-24,Valparaíso,Transferencia
397,Celular,Electrónica,250000,3,2024-11-27,La Serena,Tarjeta
398,Escritorio,Hogar,70000,5,2024-09-23,La Serena,Transferencia
399,Escritorio,Hogar,70000,1,2025-02-24,Valparaíso,Efectivo
400,Televisor,Electrónica,300000,1,2024-10-02,Santiago,Tarjeta
401,Escritorio,Hogar,70000,2,2025-05-08,Valparaíso,Efectivo
402,Escritorio,Hogar,70000,3,2025-05-25,Santiago,Tarjeta
403,Polera,Ropa,12000,4,2025-07-01,Valparaíso,Tarjeta
404,Zapatos,Ropa,35000,5,2024-09-24,,Tarjeta
405,Licuadora,Hogar,45000,5,2025-06-17,,Efectivo
406,Celular,Electrónica,250000,4,2025-08-29,,Tarjeta
407,Zapatos,Ropa,35000,1,2024-11-20,La Serena,Tarjeta
408,Camisa,Ropa,18000,5,2024-10-20,La Serena,Transferencia
409,Zapatos,Ropa,35000,4,2025-05-02,Concepción,Tarjeta
410,Zapatos,Ropa,35000,1,2024-11-14,Concepción,Tarjeta
411,Televisor,Electrónica,300000,4,2025-03-19,,Efectivo
412,Celular,Electrónica,250000,4,2025-02-17,Santiago,Tarjeta
413,Zapatos,Ropa,35000,5,2025-02-11,La Serena,Transferencia
414,Celular,Electrónica,250000,4,2024-10-22,Concepción,Transferencia
415,Camisa,Ropa,18000,2,2025-06-15,Concepción,Tarjeta
416,Celular,Electrónica,250000,5,2025-07-31,,Tarjeta
417,Licuadora,Hogar,45000,5,2025-03-03,Valparaíso,Efectivo
418,Camisa,Ropa,18000,2,2025-02-16,Valparaíso,Tarjeta
419,Cargador,Electrónica,8000,3,2024-12-31,Valparaíso,Tarjeta
420,Televisor,Electrónica,300000,2,2024-09-19,,Tarjeta
421,Cargador,Electrónica,8000,4,2025-02-18,La Serena,Transferencia
422,Televisor,Electrónica,300000,4,2024-10-31,,Transferencia
423,Televisor,Electrónica,300000,3,2025-03-14,,Efectivo
424,Cargador,Electrónica,8000,4,2025-08-06,Santiago,Efectivo
425,Polera,Ropa,12000,3,2024-12-01,Concepción,Transferencia
426,Auriculares,Electrónica,15000,3,2025-07-23,Antofagasta,Tarjeta
427,Escritorio,Hogar,70000,4,2025-03-17,La Serena,Tarjeta
428,Auriculares,Electrónica,15000,3,2025-01-16,Concepción,Tarjeta
429,Celular,Electrónica,250000,5,2025-03-28,Antofagasta,Transferencia
430,Zapatos,Ropa,35000,4,2024-12-06,Antofagasta,Transferencia
431,Auriculares,Electrónica,15000,4,2025-05-25,Antofagasta,Transferencia
432,Silla Gamer,Hogar,120000,3,2025-02-01,Antofagasta,Efectivo
433,Licuadora,Hogar,45000,2,2025-07-08,Santiago,Efectivo
434,Celular,Electrónica,250000,3,2024-12-07,,Tarjeta
435,Licuadora,Hogar,45000,2,2024-10-22,Santiago,Tarjeta
436,Polera,Ropa,12000,4,2024-11-19,Antofagasta,Transferencia
437,Televisor,Electrónica,300000,2,2025-02-16,Concepción,Efectivo
438,Escritorio,Hogar,70000,4,2025-07-29,La Serena,Efectivo
439,Televisor,Electrónica,300000,1,2025-05-06,,Transferencia
440,Camisa,Ropa,18000,1,2025-04-07,Concepción,Tarjeta
441,Licuadora,Hogar,45000,4,2024-11-02,Concepción,Efectivo
442,Televisor,Electrónica,300000,2,2025-06-26,Concepción,Tarjeta
443,Televisor,Electrónica,300000,2,2024-11-16,Concepción,Efectivo
444,Zapatos,Ropa,35000,2,2025-01-26,Antofagasta,Transferencia
445,Celular,Electrónica,250000,3,2024-10-17,Antofagasta,Efectivo
446,Camisa,Ropa,18000,2,2025-08-27,,Transferencia
447,Licuadora,Hogar,45000,1,2025-01-07,,Transferencia
448,Zapatos,Ropa,35000,5,2024-10-13,Concepción,Tarjeta
449,Camisa,Ropa,18000,3,2025-04-11,Valparaíso,Tarjeta
450,Camisa,Ropa,18000,4,2025-05-10,Valparaíso,Tarjeta
451,Cargador,Electrónica,8000,2,2025-05-01,Santiago,Efectivo
452,Celular,Electrónica,250000,5,2025-04-14,Antofagasta,Transferencia
453,Licuadora,Hogar,45000,1,2024-11-27,,Efectivo
454,Televisor,Electrónica,300000,2,2025-01-16,Antofagasta,Efectivo
455,Cargador,Electrónica,8000,2,2024-10-02,Valparaíso,Transferencia
456,Televisor,Electrónica,300000,2,2025-08-31,,Efectivo
457,Auriculares,Electrónica,15000,4,2025-03-01,Concepción,Transferencia
458,Silla Gamer,Hogar,120000,4,2025-04-06,Antofagasta,Efectivo
459,Polera,Ropa,12000,2,2024-11-27,Antofagasta,Tarjeta
460,Escritorio,Hogar,70000,4,2025-03-01,Valparaíso,Efectivo
461,Televisor,Electrónica,300000,4,2024-10-06,La Serena,Efectivo
462,Zapatos,Ropa,35000,5,2025-06-04,Antofagasta,Efectivo
463,Cargador,Electrónica,8000,2,2025-05-14,Antofagasta,Tarjeta
464,Escritorio,Hogar,70000,1,2024-09-06,,Efectivo
465,Camisa,Ropa,18000,5,2024-09-26,Santiago,Transferencia
466,Licuadora,Hogar,45000,1,2024-12-10,Concepción,Tarjeta
467,Cargador,Electrónica,8000,3,2025-07-14,La Serena,Transferencia
468,Cargador,Electrónica,8000,4,2024-11-21,Santiago,Tarjeta
469,Polera,Ropa,12000,3,2025-04-08,Santiago,Efectivo
470,Auriculares,Electrónica,15000,4,2025-06-08,Antofagasta,Efectivo
471,Silla Gamer,Hogar,120000,4,2025-02-17,Santiago,Efectivo
472,Silla Gamer,Hogar,120000,1,2025-06-15,Concepción,Tarjeta
473,Camisa,Ropa,18000,2,2024-10-05,Valparaíso,Tarjeta
474,Escritorio,Hogar,70000,4,2024-10-03,,Tarjeta
475,Polera,Ropa,12000,4,2025-04-24,Antofagasta,Tarjeta
476,Celular,Electrónica,250000,1,2024-09-05,Concepción,Tarjeta
477,Cargador,Electrónica,8000,5,2024-11-28,,Transferencia
478,Licuadora,Hogar,45000,4,2025-05-29,Santiago,Efectivo
479,Silla Gamer,Hogar,120000,3,2025-06-19,Santiago,Tarjeta
480,Silla Gamer,Hogar,120000,4,2024-10-01,,Transferencia
481,Polera,Ropa,12000,1,2025-02-17,Santiago,Efectivo
482,Televisor,Electrónica,300000,5,2024-10-11,Santiago,Transferencia
483,Licuadora,Hogar,45000,5,2025-01-29,Valparaíso,Transferencia
484,Cargador,Electrónica,8000,3,2025-08-04,La Serena,Tarjeta
485,Televisor,Electrónica,300000,3,2024-10-12,Valparaíso,Transferencia
486,Zapatos,Ropa,35000,2,2024-09-29,,Transferencia
487,Celular,Electrónica,250000,5,2025-03-20,Concepción,Tarjeta
488,Licuadora,Hogar,45000,5,2024-10-17,Antofagasta,Transferencia
489,Licuadora,Hogar,45000,1,2025-08-13,La Serena,Efectivo
490,Auriculares,Electrónica,15000,4,2025-06-04,Concepción,Efectivo
491,Auriculares,Electrónica,15000,3,2025-06-01,Santiago,Efectivo
492,Silla Gamer,Hogar,120000,1,2025-09-02,Antofagasta,Transferencia
493,Camisa,Ropa,18000,2,2025-02-19,Santiago,Efectivo
494,Licuadora,Hogar,45000,3,2024-11-12,,Tarjeta
495,Polera,Ropa,12000,4,2025-05-21,,Tarjeta
496,Cargador,Electrónica,8000,1,2025-07-16,,Efectivo
497,Auriculares,Electrónica,15000,3,2024-10-26,Valparaíso,Tarjeta
498,Silla Gamer,Hogar,120000,1,2025-07-16,Concepción,Efectivo
499,Licuadora,Hogar,45000,4,2025-08-18,Antofagasta,Efectivo
500,Escritorio,Hogar,70000,1,2025-06-25,,Tarjeta
